episode_index,dim,name,rmse,max_abs_change,first_diff_var_before,first_diff_var_after,first_diff_var_reduction,rmse_over_std,applied,note
2,3,main_wrist_flex,0.02650774534713016,0.2260044642857011,0.2599126471929712,0.25652261634856,0.013042962245289587,0.0017611774528138644,True,
2,4,main_wrist_roll,0.07935994380329382,0.39174107142861203,0.10213708682820771,0.07624798600368261,0.25347404775769633,0.0181343701245807,True,
2,5,main_gripper,0.0,0.0,,,,,False,gripper_excluded
3,0,main_shoulder_pan,0.02833734950912064,0.1205357142857153,0.5268186740041869,0.5236629140563115,0.005990220361570449,0.0010627126999103666,True,
3,1,main_shoulder_lift,0.03282522129033422,0.13560267857140218,0.6785877641425075,0.672736470635411,0.008622751272991948,0.0010960469582302064,True,
3,2,main_elbow_flex,0.03165735015300359,0.12806919642859071,0.20655822864653736,0.20200401137386714,0.0220481038325682,0.0021121910340908554,True,
3,3,main_wrist_flex,0.030318981021655964,0.10546874999997158,0.3856780669187007,0.3813863282064375,0.01112777489928645,0.0017200104517604753,True,
3,4,main_wrist_roll,0.05776666882298922,0.29380580357147323,0.07618299515539095,0.06129036825629268,0.19548492243868446,0.012739571631916639,True,
3,5,main_gripper,0.0,0.0,,,,,False,gripper_excluded
4,0,main_shoulder_pan,0.03433800347020478,0.13560267857142794,0.5369979804754257,0.5315263304180023,0.01018933079148467,0.0012311875614099451,True,
4,1,main_shoulder_lift,0.03518665347763953,0.18833705357145902,0.535132884979248,0.5290318049216752,0.011401056127973541,0.0015826146770544103,True,
4,2,main_elbow_flex,0.02738290715173824,0.10546874999997158,0.23429203033447266,0.23028950010027177,0.0170835099618494,0.002909658347048555,True,
4,3,main_wrist_flex,0.028665669713099896,0.15066964285711038,0.29034864842891683,0.2867949426295803,0.012239443229943527,0.00196400975276723,True,
4,4,main_wrist_roll,0.05855130045038,0.21847098214290384,0.11358832776546478,0.09779379799852553,0.13905064083302224,0.013669522052009525,True,
4,5,main_gripper,0.0,0.0,,,,,False,gripper_excluded
5,0,main_shoulder_pan,0.031295020846845975,0.13560267857142905,0.7164463328253668,0.7105319971160658,0.008255099423814923,0.0012039343619800061,True,
5,1,main_shoulder_lift,0.034915252430458864,0.18080357142859782,0.6369755558521822,0.6305198217324588,0.010134979373088493,0.001414945516594527,True,
5,2,main_elbow_flex,0.022408098705716337,0.09040178571431312,0.1688506042653373,0.16641037085224866,0.014452026533787058,0.0020943498256644024,True,
5,3,main_wrist_flex,0.023742069139083114,0.08286830357145902,0.36588649429693426,0.363025139213005,0.007820335345876792,0.0014931268661109688,True,
5,4,main_wrist_roll,0.05948752589746007,0.32393973214281857,0.10990860429489849,0.09348614978039729,0.1494191889693886,0.009559356696050302,True,
5,5,main_gripper,0.0,0.0,,,,,False,gripper_excluded
6,0,main_shoulder_pan,0.03401478112407263,0.1431361607142989,0.6980203427896401,0.6921747474103745,0.008374534409561199,0.0012684314385407445,True,
6,1,main_shoulder_lift,0.030976779949924066,0.12053571428575083,0.8001638262459402,0.7951481689474112,0.006268287985549732,0.0010982623580405445,True,
6,2,main_elbow_flex,0.027508387374701522,0.10546875000002132,0.20739683944187806,0.2034475925290727,0.019041982141256814,0.0020667353811187916,True,
6,3,main_wrist_flex,0.02814820283891105,0.11300223214290384,0.39387508980358904,0.3893213240275194,0.011561446493964457,0.0017905027649136136,True,
6,4,main_wrist_roll,0.07801971118289827,0.36160714285718143,0.10604213063967619,0.08216905580480828,0.22512820791942553,0.02006294317415286,True,
6,5,main_gripper,0.0,0.0,,,,,False,gripper_excluded
